scene,subset,indices,filenames
delivery_area,S2,"[0, 6]",DSC_0675.JPG; DSC_0681.JPG
delivery_area,S4,"[0, 3, 6, 9]",DSC_0675.JPG; DSC_0678.JPG; DSC_0681.JPG; DSC_0684.JPG
delivery_area,S6,"[0, 3, 4, 5, 6, 9]",DSC_0675.JPG; DSC_0678.JPG; DSC_0679.JPG; DSC_0680.JPG; DSC_0681.JPG; DSC_0684.JPG
delivery_area,S8,"[0, 1, 2, 3, 4, 5, 6, 9]",DSC_0675.JPG; DSC_0676.JPG; DSC_0677.JPG; DSC_0678.JPG; DSC_0679.JPG; DSC_0680.JPG; DSC_0681.JPG; DSC_0684.JPG
delivery_area,S10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",DSC_0675.JPG; DSC_0676.JPG; DSC_0677.JPG; DSC_0678.JPG; DSC_0679.JPG; DSC_0680.JPG; DSC_0681.JPG; DSC_0682.JPG; DSC_0683.JPG; DSC_0684.JPG
courtyard,S2,"[0, 9]",DSC_0286.JPG; DSC_0295.JPG
courtyard,S4,"[0, 4, 6, 9]",DSC_0286.JPG; DSC_0290.JPG; DSC_0292.JPG; DSC_0295.JPG
courtyard,S6,"[0, 2, 3, 4, 6, 9]",DSC_0286.JPG; DSC_0288.JPG; DSC_0289.JPG; DSC_0290.JPG; DSC_0292.JPG; DSC_0295.JPG
courtyard,S8,"[0, 2, 3, 4, 5, 6, 7, 9]",DSC_0286.JPG; DSC_0288.JPG; DSC_0289.JPG; DSC_0290.JPG; DSC_0291.JPG; DSC_0292.JPG; DSC_0293.JPG; DSC_0295.JPG
courtyard,S10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",DSC_0286.JPG; DSC_0287.JPG; DSC_0288.JPG; DSC_0289.JPG; DSC_0290.JPG; DSC_0291.JPG; DSC_0292.JPG; DSC_0293.JPG; DSC_0294.JPG; DSC_0295.JPG
