model,subset,depth_range_m,valid_pixels,abs_rel,rmse_m,delta1,condition_global_median_scale
pretrained,S2,0.1-5,530406,0.0288984514772892,0.16501884162425995,0.9805432065248131,1.2416536808013916
pretrained,S2,20-100,1472,0.9421228170394897,41.378334045410156,0.0,1.2416536808013916
pretrained,S4,0.1-5,1055930,0.03189082071185112,0.16919346153736115,0.9761707688956655,1.358676791191101
pretrained,S4,20-100,4291,0.9305179715156555,41.329124450683594,0.0,1.358676791191101
pretrained,S6,0.1-5,1557931,0.030421599745750427,0.1682572364807129,0.973810778526135,1.5032333135604858
pretrained,S6,5-20,231,0.46853145956993103,3.35097336769104,0.0,1.5032333135604858
pretrained,S6,20-100,11906,0.9328730702400208,43.47194290161133,0.0,1.5032333135604858
pretrained,S8,0.1-5,1999488,0.034935928881168365,0.17832736670970917,0.9759103330452595,1.6751267910003662
pretrained,S8,5-20,18594,0.8884419202804565,5.577247142791748,0.0,1.6751267910003662
pretrained,S8,20-100,22238,0.967144787311554,42.36344909667969,0.0,1.6751267910003662
pretrained,S10,0.1-5,2435737,0.043049026280641556,0.23833639919757843,0.9780493542611538,1.907773494720459
pretrained,S10,5-20,48970,0.8943840265274048,5.347850322723389,0.0,1.907773494720459
pretrained,S10,20-100,25265,0.96548992395401,41.729156494140625,0.0,1.907773494720459
adapted_step15,S2,0.1-5,530406,0.03770669177174568,0.16381675004959106,0.9712729494010248,1.2539936304092407
adapted_step15,S2,20-100,1472,0.9070529341697693,39.93858337402344,0.0,1.2539936304092407
adapted_step15,S4,0.1-5,1055930,0.039804842323064804,0.16574053466320038,0.9670082297121968,1.3796463012695312
adapted_step15,S4,20-100,4291,0.9027456641197205,40.23326110839844,0.0,1.3796463012695312
adapted_step15,S6,0.1-5,1557931,0.05759238451719284,0.16413873434066772,0.9432394631084432,1.5434467792510986
adapted_step15,S6,5-20,231,0.38078466057777405,2.7491393089294434,0.0,1.5434467792510986
adapted_step15,S6,20-100,11906,0.9021044373512268,42.18498992919922,0.0,1.5434467792510986
adapted_step15,S8,0.1-5,1999488,0.07245850563049316,0.17615093290805817,0.9164066000896229,1.7452014684677124
adapted_step15,S8,5-20,18594,0.8823704123497009,5.542346954345703,0.0,1.7452014684677124
adapted_step15,S8,20-100,22238,0.9620009064674377,42.15802764892578,0.0,1.7452014684677124
adapted_step15,S10,0.1-5,2435737,0.10399659723043442,0.2527330219745636,0.874376420771208,2.0642788410186768
adapted_step15,S10,5-20,48970,0.890755832195282,5.346405029296875,0.00020420665713702266,2.0642788410186768
adapted_step15,S10,20-100,25265,0.9557487368583679,41.37194061279297,0.0,2.0642788410186768
